year,elections__state,incumbent first name,incumbent middle name,incumbent last name,incumbent gender,incumbent party,incumbent election history (1),incumbent election history(2),incumbent seniority,percent of votes incumbent voted with their party,percent of votes incumbent voted against their party,election result,candidate 1 full info,candidate 1 name,candidate 1 party,candidate 1 percentage of votes,"candidate 1 gender (0=M, 1=F)",candidate 1 funding,proportion of funding candidate 1,candidate 2 full info,candidate 2 name,candidate 2 party,candidate 2 percentage of votes,"candidate 2 gender (0=M, 1=F)",candidate 2 funding,proportion of funding candidate 2,"color value (0=no women, 1=woman won, 2=woman lost, 3=both women"
1990,Alabama,Howell,Thomas,Heflin,M,D,1978,1984,11,68.3,31.7,Incumbent re-elected.,Howell Heflin (Democratic) 60.7%,Howell Heflin ,Democratic,60.70%,0,"$4,005,473.00",,William J. Cabaniss (Republican) 39.3%,William J. Cabaniss ,Republican,39.30%,0,"$1,870,162.00",,0
1990,Alaska,Ted,F.,Stevens,M,R,1970,1972,21,82.98,17.02,Incumbent re-elected.,Ted Stevens (Republican) 67.2%,Ted Stevens ,Republican,67.20%,0,"$1,676,916.00",,Michael Beasley (Democratic) 32.8%,Michael Beasley ,Democratic,32.80%,0,"$1,000.00",,0
1990,Arkansas,David,Hampton,Pryor,M,D,1978,1984,11,88.33,11.67,Incumbent re-elected.,David Pryor (Democratic),David Pryor ,Democratic,,0,"$1,498,368.00",,Unopposed,Unopposed,,,,,,0
1990,Colorado,,,,,,1978,1984,,,,Incumbent retired.New senator elected.Republican hold.,Hank Brown (Republican) 55.7%,Hank Brown ,Republican,55.70%,0,"$4,179,746.00",,Josie Heath (Democratic) 41.6%,Josie Heath ,Democratic,41.60%,1,"$1,946,611.00",,2
1990,Delaware,,,,,,1972,1978,,,,Incumbent re-elected.,Joe Biden (Democratic) 62.7%,Joe Biden ,Democratic,62.70%,0,"$2,819,488.00",,M. Jane Brady (Republican) 35.8%,M. Jane Brady ,Republican,35.80%,1,,,2
1990,Georgia,,,,,,1972 (Special),1972,,,,Incumbent re-elected.,Sam Nunn (Democratic),Sam Nunn ,Democratic,,0,"$2,118,911.00",,Unopposed,Unopposed,,,0,,,0
1990,Idaho,,,,,,1972,1978,,,,Incumbent retired.New senator elected.Republican hold.,Larry Craig (Republican) 61.3%,Larry Craig ,Republican,61.30%,0,"$1,734,617.00",,Ron J. Twilegar (Democratic) 38.7%,Ron J. Twilegar ,Democratic,38.70%,0,"$545,167.00",,0
1990,Illinois,Paul,Martin,Simon,M,D,1984,,5,85.76,14.24,Incumbent re-elected.,Paul Simon (Democratic) 64.9%,Paul Simon ,Democratic,64.90%,0,"$9,643,884.00",,Lynn Morley Martin (Republican) 35.1%,Lynn Morley Martin ,Republican,35.10%,1,"$4,986,730.00",,2
1990,Iowa,Tom,null,Harkin,M,D,1984,,5,81.5,18.5,Incumbent re-elected.,Tom Harkin (Democratic) 54.0%,Tom Harkin ,Democratic,54.00%,0,"$5,715,839.00",,Tom Tauke (Republican) 46.0%,Tom Tauke ,Republican,46.00%,0,"$4,941,559.00",,0
1990,Kansas,Nancy,Landon,Kassebaum,F,R,1978,1984,11,82.74,17.26,Incumbent re-elected.,Nancy Kassebaum (Republican) 73.6%,Nancy Kassebaum ,Republican,73.60%,1,"$532,964.00",,Dick Williams (Democratic) 26.4%,Dick Williams ,Democratic,26.40%,1,"$16,827.00",,1
1990,Kentucky,Mitch,null,McConnell,M,R,1984,,5,90.15,9.85,Incumbent re-elected.,Mitch McConnell (Republican) 52.2%,Mitch McConnell ,Republican,52.20%,0,"$5,636,215.00",,Harvey I. Sloane (Democratic) 47.8%,Harvey I. Sloane ,Democratic,47.80%,0,"$3,013,863.00",,0
1990,Louisiana,,,,,,1972,1978,,,,Incumbent re-elected.,J. Bennett Johnston (Democratic) 53%,J. Bennett Johnston ,Democratic,53%,0,"$4,816,299.00",,David Duke (Republican) 44%,David Duke ,Republican,44%,0,"$2,670,311.00",,0
1990,Maine,William,Sebastian,Cohen,M,R,1972,1978,11,72.07,27.93,Incumbent re-elected.,William Cohen (Republican) 61.4%,William Cohen ,Republican,61.40%,0,"$1,511,752.00",,Neil Rolde (Democratic) 38.6%,Neil Rolde ,Democratic,38.60%,0,"$1,635,717.00",,0
1990,Massachusetts,John,null,Kerry,M,D,1984,,5,85.16,14.84,Incumbent re-elected.,John Kerry (Democratic) 56.9%,John Kerry ,Democratic,56.90%,0,"$8,042,413.00",,Jim Rappaport (Republican) 43.1%,Jim Rappaport ,Republican,43.10%,0,"$5,185,061.00",,0
1990,Michigan,Carl,null,Levin,M,D,1978,1984,11,84.85,15.15,Incumbent re-elected.,Carl Levin (Democratic) 57.5%,Carl Levin ,Democratic,57.50%,0,"$7,228,954.00",,Bill Schuette (Republican) 41.2%,Bill Schuette ,Republican,41.20%,0,"$2,495,799.00",,0
1990,Minnesota,,,,,,1978,1984,,,,Incumbent lost re-election.New senator elected.Democratic gain.,Paul Wellstone (Democratic) 50.4%,Paul Wellstone ,Democratic,50.40%,0,"$1,401,706.00",,Rudy Boschwitz (Republican) 47.8%,Rudy Boschwitz ,Republican,47.80%,0,"$7,758,747.00",,0
1990,Mississippi,Thad,null,Cochran,M,R,1978,1984,11,90.13,9.87,Incumbent re-elected.,Thad Cochran (Republican),Thad Cochran ,Republican,,0,"$1,463,865.00",,Unopposed,Unopposed,,,,,,0
1990,Montana,Max,null,Baucus,M,D,1978,1984,11,81.23,18.77,Incumbent re-elected.,Max Baucus (Democratic) 68.1%,Max Baucus ,Democratic,68.10%,0,"$3,075,422.00",,Allen Kolstad (Republican) 29.4%,Allen Kolstad ,Republican,29.40%,0,"$748,100.00",,0
1990,Nebraska,J. James,null,Exon,M,D,1978,1984,11,76.61,23.39,Incumbent re-elected.,J. James Exon (Democratic) 59.1%,J. James Exon ,Democratic,59.10%,0,"$2,637,149.00",,Hal Daub (Republican) 40.9%,Hal Daub ,Republican,40.90%,0,"$1,461,846.00",,0
1990,New Hampshire,,,,,,1978,1984,,,,Incumbent retired.New senator elected.Republican hold.,Bob Smith (Republican) 65.1%,Bob Smith ,Republican,65.10%,0,"$1,509,288.00",,John A. Durkin (Democratic) 31.3%,John A. Durkin ,Democratic,31.30%,0,"$340,025.00",,0
1990,New Jersey,,,,,,1978,1984,,,,Incumbent re-elected.,Bill Bradley (Democratic) 50.4%,Bill Bradley ,Democratic,50.40%,0,"$13,077,229.00",,Christine Todd Whitman (Republican) 47.4%,Christine Todd Whitman ,Republican,47.40%,1,"$687,420.00",,2
1990,New Mexico,Pete,V.,Domenici,M,R,1972,1978,17,84.64,15.36,Incumbent re-elected.,Pete Domenici (Republican) 72.9%,Pete Domenici ,Republican,72.90%,0,"$2,495,799.00",,Tom R. Benavides (Democratic) 27.1%,Tom R. Benavides ,Democratic,27.10%,0,"$38,643.00",,0
1990,North Carolina,Jesse,null,Helms,M,R,1972,1978,17,79.22,20.78,Incumbent re-elected.,Jesse Helms (Republican) 52.6%,Jesse Helms ,Republican,52.60%,0,"$18,169,485.00",,Harvey Gantt (Democratic) 47.4%,Harvey Gantt ,Democratic,47.40%,0,"$7,856,827.00",,0
1990,Oklahoma,David,Lyle,Boren,M,D,1978,1984,11,76.46,23.54,Incumbent re-elected.,David Boren (Democratic) 83.2%,David Boren ,Democratic,83.20%,0,"$1,716,596.00",,Stephen Jones (Republican) 17.8%,Stephen Jones ,Republican,17.80%,0,"$140,911.00",,0
1990,Oregon,Mark,Odom,Hatfield,M,R,1966,1972,23,62.37,37.63,Incumbent re-elected.,Mark Hatfield (Republican) 53.9%,Mark Hatfield ,Republican,53.90%,0,,,Harry Lonsdale (Democratic) 46.1%,Harry Lonsdale ,Democratic,46.10%,0,"$1,503,979.00",,0
1990,Rhode Island,Claiborne,de Borda,Pell,M,D,1960,1966,29,87.25,12.75,Incumbent re-elected.,Claiborne Pell (Democratic) 61.8%,Claiborne Pell ,Democratic,61.80%,0,"$2,261,423.00",,Claudine Schneider (Republican) 38.2%,Claudine Schneider ,Republican,38.20%,1,"$1,989,696.00",,2
1990,South Carolina,Strom,null,Thurmond,M,R,1954,1956 (Special),34,92.93,7.07,Incumbent re-elected.,Strom Thurmond (Republican) 64.2%,Strom Thurmond ,Republican,64.20%,0,"$2,190,107.00",,Bob Cunningham (Democratic) 32.5%,Bob Cunningham ,Democratic,32.50%,0,"$6,379.00",,0
1990,South Dakota,Larry,Lee,Pressler,null,R,1978,1984,11,80.36,19.64,Incumbent re-elected.,Larry Pressler (Republican) 52.4%,Larry Pressler ,Republican,52.40%,0,"$2,368,218.00",,Ted Muenster (Democratic) 45.1%,Ted Muenster ,Democratic,45.10%,0,"$1,335,356.00",,0
1990,Tennessee,,,,,,1984,,,,,Incumbent re-elected.,Al Gore (Democratic) 67.7%,Al Gore ,Democratic,67.70%,0,"$2,659,326.00",,William R. Hawkins (Republican) 29.8%,William R. Hawkins ,Republican,29.80%,0,"$13,510.00",,0
1990,Texas,Phil,null,Gramm,M,R,1984,,5,89.85,10.15,Incumbent re-elected.,Phil Gramm (Republican) 60.2%,Phil Gramm ,Republican,60.20%,0,"$16,268,341.00",,Hugh Parmer (Democratic) 37.4%,Hugh Parmer ,Democratic,37.40%,0,"$1,767,574.00",,0
1990,Virginia,John,W.,Warner,M,R,1978,1984,11,84.93,15.07,Incumbent re-elected.,John Warner (Republican) 80.9%,John Warner ,Republican,80.90%,0,"$1,976,934.00",,Nancy B. Spannaus (Independent) 18.2%,Nancy B. Spannaus ,Independent,18.20%,1,"$134,245.00",,2
1990,West Virginia,,,,,,1978,1984,,,,Incumbent re-elected.,Jay Rockefeller (Democratic) 68.5%,Jay Rockefeller ,Democratic,68.50%,0,"$3,606,313.00",,John Yoder (Republican) 31.5%,John Yoder ,Republican,31.50%,0,"$33,239.00",,0
1990,Wyoming,Alan,Kooi,Simpson,M,R,1978,1984,11,90.8,9.2,Incumbent re-elected.,Alan Simpson (Republican) 66.4%,Alan Simpson ,Republican,66.40%,0,"$1,486,624.00",,Kathy Helling (Democratic) 33.6%,Kathy Helling ,Democratic,33.60%,1,"$6,431.00",,2
1992,Alabama,Richard,C.,Shelby,M,D,1986,,5,68.4,31.6,Incumbent re-elected.,Richard Shelby (Democratic) 64.8%,Richard Shelby ,Democratic,64.80%,0,"$3,778,582.00",,Richard Sellars (Republican) 33.1%,Richard Sellars ,Republican,33.10%,0,,,0
1992,Alaska,Frank,H.,Murkowski,M,R,1980,1986,11,90.4,9.6,Incumbent re-elected.,Frank Murkowski (Republican) 53.0%,Frank Murkowski ,Republican,53.00%,0,"$1,887,991.00",,Tony Smith (Democratic) 38.4%,Tony Smith ,Democratic,38.40%,0,"$913,975.00",,0
1992,Arizona,John,null,McCain,M,R,1986,,5,87.05,12.95,Incumbent re-elected.,John McCain (Republican) 55.8%,John McCain ,Republican,55.80%,0,"$3,772,516.00",,Claire Sargent (Democratic) 31.6%,Claire Sargent ,Democratic,31.60%,1,"$288,412.00",,2
1992,Arkansas,Dale,null,Bumpers,M,D,1974,1980,17,84.63,15.37,Incumbent re-elected.,Dale Bumpers (Democratic) 60.2%,Dale Bumpers ,Democratic,60.20%,0,"$2,063,717.00",,Mike Huckabee (Republican) 39.8%,Mike Huckabee ,Republican,39.80%,0,"$905,215.00",,0
1992,California,Alan,null,Cranston,null,D,1968,1974,23,88.03,11.97,Incumbent retired.New senator elected.Democratic hold.,Barbara Boxer (Democratic) 47.9%,Barbara Boxer ,Democratic,47.90%,1,"$10,431,140.00",,Bruce Herschensohn (Republican) 43.0%,Bruce Herschensohn ,Republican,43.00%,0,"$8,050,152.00",,1
1992,Colorado,,,,,,1986,,,,,Incumbent retired.New senator elected.Democratic hold.,Ben Nighthorse Campbell (Democratic) 51.8%,Ben Nighthorse Campbell ,Democratic,51.80%,0,"$1,594,544.00",,Terry Considine (Republican) 42.7%,Terry Considine ,Republican,42.70%,0,"$2,708,822.00",,0
1992,Connecticut,,,,,,1980,1986,,,,Incumbent re-elected.,Chris Dodd (Democratic) 58.8%,Chris Dodd ,Democratic,58.80%,0,"$4,342,880.00",,Brook Johnson (Republican) 38.1%,Brook Johnson ,Republican,38.10%,1,"$2,399,715.00",,2
1992,Florida,Bob,null,Graham,M,D,1980,1986,5,82.52,17.48,Incumbent re-elected.,Bob Graham (Democratic) 65.4%,Bob Graham ,Democratic,65.40%,0,"$3,696,833.00",,James W. Grant (Republican) 34.6%,James W. Grant ,Republican,34.60%,0,,,0
1992,Georgia,Wyche,null,Fowler,null,D,1986,,5,83.97,16.03,Incumbent lost re-election.New senator elected.Republican gain.,Paul Coverdell (Republican) 50.6%,Paul Coverdell ,Republican,50.60%,0,"$3,300,867.00",,Wyche Fowler (Democratic) 49.4%,Wyche Fowler ,Democratic,49.40%,0,"$5,583,791.00",,0
1992,Hawaii,Daniel,K.,Inouye,M,D,1962,1968,29,88.51,11.49,Incumbent re-elected.,Daniel Inouye (Democratic) 57.3%,Daniel Inouye ,Democratic,57.30%,0,"$2,949,124.00",,Rick Reed (Republican) 26.9%,Rick Reed ,Republican,26.90%,0,,,0
1992,Idaho,,,,,,1980,1986,,,,Incumbent retired.New senator elected.Republican hold.,Dirk Kempthorne (Republican) 56.5%,Dirk Kempthorne ,Republican,56.50%,0,"$1,351,127.00",,Richard H. Stallings (Democratic) 43.5%,Richard H. Stallings ,Democratic,43.50%,0,"$1,224,232.00",,0
1992,Illinois,,,,,,1980,1986,,,,Incumbent lost renomination.New senator elected.Democratic hold.,Carol Moseley Braun (Democratic) 53.3%,Carol Moseley Braun ,Democratic,53.30%,1,"$6,496,248.00",,Richard S. Williamson (Republican) 43.1%,Richard S. Williamson ,Republican,43.10%,0,"$2,320,713.00",,1
1992,Indiana,,,,,,1990 (Special),,,,,Incumbent re-elected.,Dan Coats (Republican) 57.3%,Dan Coats ,Republican,57.30%,0,"$4,085,244.00",,Joe Hogsett (Democratic) 40.7%,Joe Hogsett ,Democratic,40.70%,0,"$1,621,467.00",,0
1992,Iowa,,,,,,1980,1986,,,,Incumbent re-elected.,Chuck Grassley (Republican) 69.6%,Chuck Grassley ,Republican,69.60%,0,"$2,895,998.00",,Jean Hall Lloyd-Jones (Democratic) 27.2%,Jean Hall Lloyd-Jones ,Democratic,27.20%,0,,,0
1992,Kansas,,,,,,1968,1974,,,,Incumbent re-elected.,Bob Dole (Republican) 62.7%,Bob Dole ,Republican,62.70%,0,"$3,143,115.00",,Gloria O'Dell (Democratic) 31.0%,Gloria O'Dell ,Democratic,31.00%,1,"$148,143.00",,2
1992,Kentucky,Wendell,H.,Ford,M,D,1974,1980,18,80.75,19.25,Incumbent re-elected.,Wendell Ford (Democratic) 62.9%,Wendell Ford ,Democratic,62.90%,0,"$2,406,052.00",,David L. Williams (Republican) 35.8%,David L. Williams ,Republican,35.80%,0,,,0
1992,Louisiana,John,B.,Breaux,M,D,1986,,5,79.27,20.73,Incumbent re-elected.,John Breaux (Democratic) 73.07%,John Breaux ,Democratic,73.07%,0,"$3,601,407.00",,Jon Khachaturian (Independent) 8.9%,Jon Khachaturian ,Independent,8.90%,0,,,0
1992,Maryland,Barbara,A.,Mikulski,F,D,1986,,5,91.48,8.52,Incumbent re-elected.,Barbara Mikulski (Democratic) 71.0%,Barbara Mikulski ,Democratic,71.00%,1,"$3,789,523.00",,Alan Keyes (Republican) 29.0%,Alan Keyes ,Republican,29.00%,0,"$1,162,780.00",,1
1992,Missouri,,,,,,1986,,,,,Incumbent re-elected.,"Christopher ""Kit"" Bond (Republican) 51.9%","Christopher ""Kit"" Bond ",Republican,51.90%,0,"$5,087,184.00",,Geri Rothman-Serot (Democratic) 44.9%,Geri Rothman-Serot ,Democratic,44.90%,1,"$1,156,647.00",,2
1992,Nevada,Harry,null,Reid,M,D,1986,,5,83.58,16.42,Incumbent re-elected.,Harry Reid (Democratic) 51.0%,Harry Reid ,Democratic,51.00%,0,"$3,487,885.00",,Demar Dahl (Republican) 40.2%,Demar Dahl ,Republican,40.20%,0,,,0
1992,New Hampshire,Warren,Bruce,Rudman,M,R,1980,1986,11,79.77,20.23,Incumbent retired.New senator elected.Republican hold.,Judd Gregg (Republican) 48.2%,Judd Gregg ,Republican,48.20%,0,"$1,210,315.00",,John Rauh (Democratic) 45.3%,John Rauh ,Democratic,45.30%,0,"$1,109,500.00",,0
1992,New York,,,,,,1980,1986,,,,Incumbent re-elected.,Al D'Amato (Republican) 49.0%,Al D'Amato ,Republican,49.00%,0,,,Robert Abrams (Democratic) 47.8%,Robert Abrams ,Democratic,47.80%,0,"$6,975,203.00",,0
1992,North Carolina,,,,,,1986 (Special),1986,,,,Incumbent lost re-election.New senator elected.Republican gain.,Lauch Faircloth (Republican) 50.4%,Lauch Faircloth ,Republican,50.40%,0,"$2,969,937.00",,Terry Sanford (Democratic) 46.3%,Terry Sanford ,Democratic,46.30%,0,"$4,704,353.00",,0
1992,North Dakota,Kent,null,Conrad,M,D,1986,,5,77.21,22.79,Incumbent retired.New senator elected.Democratic hold.,Byron Dorgan (Democratic) 59.0%,Byron Dorgan ,Democratic,59.00%,0,"$1,061,651.00",,Steve Sydness (Republican) 38.9%,Steve Sydness ,Republican,38.90%,0,,,0
1992,Ohio,John,H.,Glenn,M,D,1974,1980,17,86.88,13.12,Incumbent re-elected.,John Glenn (Democratic) 51.0%,John Glenn ,Democratic,51.00%,0,"$4,284,342.00",,Mike DeWine (Republican) 42.3%,Mike DeWine ,Republican,42.30%,0,"$3,054,216.00",,0
1992,Oklahoma,Don,null,Nickles,M,R,1980,1986,11,87.98,12.02,Incumbent re-elected.,Don Nickles (Republican) 58.5%,Don Nickles ,Republican,58.50%,0,"$3,642,012.00",,Steve Lewis (Democratic) 38.2%,Steve Lewis ,Democratic,38.20%,0,"$1,456,533.00",,0
1992,Oregon,,,,,,1968,1974,,,,Incumbent re-elected.,Bob Packwood (Republican) 52.1%,Bob Packwood ,Republican,52.10%,0,"$8,228,212.00",,Les AuCoin (Democratic) 46.5%,Les AuCoin ,Democratic,46.50%,0,"$2,301,155.00",,0
1992,Pennsylvania,Arlen,null,Specter,M,R,1980,1986,11,70.64,29.36,Incumbent re-elected.,Arlen Specter (Republican) 49.1%,Arlen Specter ,Republican,49.10%,0,"$10,463,911.00",,Lynn Yeakel (Democratic) 46.3%,Lynn Yeakel ,Democratic,46.30%,1,"$5,300,624.00",,2
1992,South Carolina,,,,,,1966 (Special),1968,,,,Incumbent re-elected.,Fritz Hollings (Democratic) 50.1%,Fritz Hollings ,Democratic,50.10%,0,"$4,042,179.00",,Thomas F. Hartnett (Republican) 46.9%,Thomas F. Hartnett ,Republican,46.90%,0,"$907,376.00",,0
1992,South Dakota,,,,,,1986,,,,,Incumbent re-elected.,Tom Daschle (Democratic) 64.9%,Tom Daschle ,Democratic,64.90%,0,"$3,854,720.00",,Charlene Haar (Republican) 32.5%,Charlene Haar ,Republican,32.50%,1,"$370,515.00",,2
1992,Utah,,,,,,1974,1980,,,,Incumbent retired.New senator elected.Republican hold.,Bob Bennett (Republican) 55.4%,Bob Bennett ,Republican,55.40%,0,"$3,965,576.00",,Wayne Owens (Democratic) 39.7%,Wayne Owens ,Democratic,39.70%,0,"$1,934,683.00",,0
1992,Vermont,Patrick,J.,Leahy,M,D,1974,1980,17,89.85,10.15,Incumbent re-elected.,Patrick Leahy (Democratic) 54.2%,Patrick Leahy ,Democratic,54.20%,0,"$1,146,752.00",,Jim Douglas (Republican) 43.3%,Jim Douglas ,Republican,43.30%,0,,,0
1992,Washington,,,,,,1986,,,,,Incumbent retired.New senator elected.Democratic hold.,Patty Murray (Democratic) 54.0%,Patty Murray ,Democratic,54.00%,1,"$1,496,204.00",,Rod Chandler (Republican) 46.0%,Rod Chandler ,Republican,46.00%,0,"$2,592,759.00",,1
1992,Wisconsin,,,,,,1980,1986,,,,Incumbent lost re-election.New senator elected.Democratic gain.,Russ Feingold (Democratic) 52.6%,Russ Feingold ,Democratic,52.60%,0,"$2,117,155.00",,Bob Kasten (Republican) 46.0%,Bob Kasten ,Republican,46.00%,0,"$5,973,353.00",,0
1994,Arizona,Dennis,Webster,DeConcini,M,D,1976,1982,17,84.73,15.27,Incumbent retired.New senator elected.Republican gain.,Jon Kyl (Republican) 53.7%,Jon Kyl ,Republican,53.70%,0,"$4,314,138.00",,Sam Coppersmith (Democratic) 39.5%,Sam Coppersmith ,Democratic,39.50%,0,"$1,583,359.00",,0
1994,California,Dianne,null,Feinstein,F,D,1992 (Special),,1,89.99,10.01,Incumbent re-elected.,Dianne Feinstein (Democratic) 46.7%,Dianne Feinstein ,Democratic,46.70%,1,"$14,597,791.00",,Michael Huffington (Republican) 44.8%,Michael Huffington ,Republican,44.80%,0,"$29,912,116.00",,1
1994,Connecticut,,,,,,1988,,,,,Incumbent re-elected.,Joe Lieberman (Democratic) 67%,Joe Lieberman ,Democratic,67%,0,"$5,451,161.00",,Jerry Labriola (Republican) 31%,Jerry Labriola ,Republican,31%,0,"$168,067.00",,0
1994,Delaware,William,V.,Roth,M,R,1970,1976,23,78.77,21.23,Incumbent re-elected.,William Roth (Republican) 55.8%,William Roth ,Republican,55.80%,0,"$2,278,646.00",,Charles Oberly (Democratic) 42.5%,Charles Oberly ,Democratic,42.50%,0,"$1,579,006.00",,0
1994,Florida,,,,,,1988,,,,,Incumbent re-elected.,Connie Mack III (Republican) 70.5%,Connie Mack III ,Republican,70.50%,0,"$6,729,853.00",,Hugh Rodham (Democratic) 30.5%,Hugh Rodham ,Democratic,30.50%,0,"$634,583.00",,0
1994,Hawaii,Daniel,K.,Akaka,M,D,1990 (Special),,3,94.39,5.61,Incumbent re-elected.,Daniel Akaka (Democratic) 71.8%,Daniel Akaka ,Democratic,71.80%,0,"$1,763,875.00",,Maria Hustace (Republican) 24.2%,Maria Hustace ,Republican,24.20%,1,,,2
1994,Indiana,Richard,G.,Lugar,M,R,1976,1982,17,87.36,12.64,Incumbent re-elected.,Richard Lugar (Republican) 67.4%,Richard Lugar ,Republican,67.40%,0,"$4,676,232.00",,Jim Jontz (Democratic) 30.5%,Jim Jontz ,Democratic,30.50%,0,"$488,714.00",,0
1994,Maine,,,,,,1982,1988,,,,Incumbent retired.New senator elected.Republican gain.,Olympia Snowe (Republican) 60.2%,Olympia Snowe ,Republican,60.20%,1,"$2,309,912.00",,Thomas Andrews (Democratic) 36.4%,Thomas Andrews ,Democratic,36.40%,0,"$1,506,154.00",,1
1994,Maryland,Paul,S.,Sarbanes,M,D,1976,1982,17,97.05,2.95,Incumbent re-elected.,Paul Sarbanes (Democratic) 59.1%,Paul Sarbanes ,Democratic,59.10%,0,"$2,771,844.00",,Bill Brock (Republican) 40.9%,Bill Brock ,Republican,40.90%,0,"$3,204,925.00",,0
